共 1000 条请求，成功 1000，失败 0

===== 汇总（仅成功请求） =====
  latency（端到端）                 n=1000 mean=210704.00ms  p50=225131.01  p90=355892.36  p99=413059.53  min=  2982.39  max=483279.65
  P端prefill+网络（推算）             n=1000 mean=188228.19ms  p50=203910.28  p90=338484.29  p99=363902.44  min=    50.50  max=366890.96
  D端总耗时（排队+decode）             n=1000 mean= 22475.81ms  p50= 10639.44  p90= 52770.98  p99=139136.02  min=  2837.35  max=140653.88
  D端排队+调度（推算）                  n=1000 mean=   106.32ms  p50=    75.85  p90=   200.39  p99=   445.49  min=    12.48  max=   480.03
  D端排队占比                       n=1000 mean=     0.82%  p50=     0.65  p90=     1.43  p99=     1.89  min=     0.24  max=     2.02
  D端GPU decode（纯算）             n=1000 mean= 22369.49ms  p50= 10571.88  p90= 52609.66  p99=138692.23  min=  2824.87  max=140199.28
  轮均GPU耗时                      无数据

===== 逐轮 GPU forward 耗时分布（所有请求合并） =====
  每轮 forward                   无数据

===== 逐请求明细 =====
 idx   latency     P端(推算)       D端总       排队     排队%       GPU    轮数       轮均
   0   24178.6      503.6   23675.0    118.2    0.5%   23556.8     0     0.00
   1    3272.3      435.0    2837.4     12.5    0.4%    2824.9     0     0.00
   2    7040.7       69.5    6971.2     54.6    0.8%    6916.6     0     0.00
   3    2992.2       80.3    2911.9     38.1    1.3%    2873.8     0     0.00
   4    2982.4       64.2    2918.2     37.4    1.3%    2880.8     0     0.00
   5   29045.7       68.8   28976.9    168.7    0.6%   28808.2     0     0.00
   6   52464.3       60.5   52403.8    222.0    0.4%   52181.8     0     0.00
   7   21563.2       59.4   21503.8    134.9    0.6%   21368.9     0     0.00
   8   36351.9       76.0   36275.9    191.8    0.5%   36084.1     0     0.00
   9    8359.4       77.3    8282.1     61.3    0.7%    8220.8     0     0.00
  10    7257.7       92.9    7164.7     53.8    0.8%    7111.0     0     0.00
  11   59208.6       75.6   59132.9    264.0    0.4%   58868.9     0     0.00
  12   19352.9       65.5   19287.4    127.1    0.7%   19160.3     0     0.00
  13   18513.1       66.6   18446.5    125.0    0.7%   18321.6     0     0.00
  14    3101.0       64.9    3036.1     39.5    1.3%    2996.6     0     0.00
  15    7887.0       74.8    7812.1     81.2    1.0%    7730.9     0     0.00
  16   17330.6       89.5   17241.1    118.9    0.7%   17122.2     0     0.00
  17   33554.0       74.8   33479.1    180.7    0.5%   33298.4     0     0.00
  18   29329.7       77.4   29252.3    164.7    0.6%   29087.6     0     0.00
  19    3235.6       73.8    3161.8     43.4    1.4%    3118.5     0     0.00
  20    3250.2       88.7    3161.4     42.1    1.3%    3119.3     0     0.00
  21   49461.0       78.3   49382.7    228.8    0.5%   49153.9     0     0.00
  22   47287.3       92.5   47194.8    203.2    0.4%   46991.7     0     0.00
  23   31163.1       94.7   31068.4    173.6    0.6%   30894.8     0     0.00
  24   69394.2       90.5   69303.6    307.9    0.4%   68995.7     0     0.00
  25   59956.1       85.5   59870.6    270.9    0.5%   59599.7     0     0.00
  26    3278.8       74.8    3204.1     64.7    2.0%    3139.3     0     0.00
  27    8322.7       90.2    8232.5     83.3    1.0%    8149.2     0     0.00
  28    6602.6       83.5    6519.1     74.3    1.1%    6444.8     0     0.00
  29   54836.4       90.4   54745.9    248.2    0.5%   54497.7     0     0.00
  30   34472.2       70.0   34402.2    178.3    0.5%   34223.9     0     0.00
  31    3996.0       87.5    3908.5     64.4    1.6%    3844.1     0     0.00
  32    3303.5       74.4    3229.1     62.0    1.9%    3167.1     0     0.00
  33   34495.0       73.2   34421.8    177.2    0.5%   34244.6     0     0.00
  34   51515.1       86.2   51428.9    213.8    0.4%   51215.1     0     0.00
  35    5195.1       96.3    5098.7     48.9    1.0%    5049.8     0     0.00
  36   29516.2       87.4   29428.7    143.0    0.5%   29285.7     0     0.00
  37   44512.1       80.9   44431.2    187.0    0.4%   44244.1     0     0.00
  38    8307.2       81.2    8226.0     61.1    0.7%    8164.8     0     0.00
  39    4048.0       66.8    3981.2     44.3    1.1%    3936.9     0     0.00
  40    6552.2       82.0    6470.2     53.1    0.8%    6417.1     0     0.00
  41   47727.7       86.2   47641.4    199.1    0.4%   47442.4     0     0.00
  42   11007.8       91.3   10916.6     76.2    0.7%   10840.3     0     0.00
  43    6671.5       86.4    6585.1     56.3    0.9%    6528.8     0     0.00
  44   25901.2       93.3   25807.9    126.4    0.5%   25681.5     0     0.00
  45    3383.3       87.9    3295.4     42.4    1.3%    3253.0     0     0.00
