共 1000 条请求，成功 1000，失败 0

===== 汇总（仅成功请求） =====
  latency（端到端）                 n=1000 mean=210008.22ms  p50=223844.88  p90=337475.69  p99=399010.86  min=  2915.39  max=449278.85
  P端prefill+网络（推算）             n=1000 mean=187663.93ms  p50=202698.28  p90=320381.75  p99=352812.44  min=    49.63  max=356584.64
  D端总耗时（排队+decode）             n=1000 mean= 22344.28ms  p50= 10236.15  p90= 52550.06  p99=138500.81  min=  2854.60  max=140481.88
  D端排队+调度（推算）                  n=1000 mean=   107.16ms  p50=    75.74  p90=   204.84  p99=   446.55  min=    27.68  max=   491.90
  D端排队占比                       n=1000 mean=     0.83%  p50=     0.66  p90=     1.45  p99=     1.90  min=     0.25  max=     2.06
  D端GPU decode（纯算）             n=1000 mean= 22237.12ms  p50= 10160.19  p90= 52390.41  p99=138108.04  min=  2818.71  max=140035.35
  轮均GPU耗时                      无数据

===== 逐轮 GPU forward 耗时分布（所有请求合并） =====
  每轮 forward                   无数据

===== 逐请求明细 =====
 idx   latency     P端(推算)       D端总       排队     排队%       GPU    轮数       轮均
   0   27478.8       49.6   27429.2    137.1    0.5%   27292.1     0     0.00
   1    2915.4       60.8    2854.6     35.9    1.3%    2818.7     0     0.00
   2    7158.1       82.9    7075.2     53.7    0.8%    7021.5     0     0.00
   3    2978.3       66.1    2912.2     38.6    1.3%    2873.6     0     0.00
   4    2997.3       77.8    2919.5     37.7    1.3%    2881.8     0     0.00
   5   21797.2       81.6   21715.6    137.9    0.6%   21577.7     0     0.00
   6   46012.6       75.8   45936.8    226.5    0.5%   45710.3     0     0.00
   7   30172.8       75.1   30097.7    173.9    0.6%   29923.7     0     0.00
   8   36464.8       62.4   36402.4    189.3    0.5%   36213.1     0     0.00
   9    8338.0       66.7    8271.3     61.5    0.7%    8209.9     0     0.00
  10    7117.7       80.0    7037.7     53.5    0.8%    6984.3     0     0.00
  11   59427.7       89.7   59338.0    282.0    0.5%   59055.9     0     0.00
  12   19836.6       81.3   19755.2    130.5    0.7%   19624.8     0     0.00
  13   17976.9       82.4   17894.5    124.1    0.7%   17770.4     0     0.00
  14    3106.8       80.6    3026.2     38.4    1.3%    2987.8     0     0.00
  15    7581.6       64.1    7517.5     81.9    1.1%    7435.6     0     0.00
  16   20785.8       67.0   20718.8    136.3    0.7%   20582.5     0     0.00
  17   34348.4       81.7   34266.7    181.6    0.5%   34085.1     0     0.00
  18   38767.5       86.7   38680.8    198.6    0.5%   38482.2     0     0.00
  19    3985.5       81.0    3904.5     67.5    1.7%    3837.1     0     0.00
  20    3257.8       94.7    3163.1     43.6    1.4%    3119.5     0     0.00
  21   39332.0      113.9   39218.1    204.8    0.5%   39013.3     0     0.00
  22   44097.7       71.1   44026.6    225.5    0.5%   43801.1     0     0.00
  23   29964.7       69.8   29894.9    148.9    0.5%   29746.1     0     0.00
  24  134945.5       93.1  134852.4    449.7    0.3%  134402.7     0     0.00
  25   49005.5       93.3   48912.3    243.7    0.5%   48668.6     0     0.00
  26    3292.0       81.9    3210.1     66.2    2.1%    3143.9     0     0.00
