共 1000 条请求，成功 1000，失败 0

===== 汇总（仅成功请求） =====
  latency（端到端）                 n=1000 mean=208067.98ms  p50=220137.88  p90=344855.86  p99=400388.15  min=  2912.29  max=449143.58
  P端prefill+网络（推算）             n=1000 mean=185757.54ms  p50=198747.92  p90=325959.18  p99=353952.75  min=    44.76  max=355494.03
  D端总耗时（排队+decode）             n=1000 mean= 22310.44ms  p50= 10498.70  p90= 52457.27  p99=138767.08  min=  2854.96  max=140239.99
  D端排队+调度（推算）                  n=1000 mean=   104.57ms  p50=    73.99  p90=   195.61  p99=   421.25  min=    24.37  max=   489.84
  D端排队占比                       n=1000 mean=     0.80%  p50=     0.66  p90=     1.38  p99=     1.84  min=     0.27  max=     2.08
  D端GPU decode（纯算）             n=1000 mean= 22205.87ms  p50= 10428.69  p90= 52291.30  p99=138318.42  min=  2818.89  max=139753.37
  轮均GPU耗时                      无数据

===== 逐轮 GPU forward 耗时分布（所有请求合并） =====
  每轮 forward                   无数据

===== 逐请求明细 =====
 idx   latency     P端(推算)       D端总       排队     排队%       GPU    轮数       轮均
   0   30607.5       47.2   30560.3    153.3    0.5%   30407.0     0     0.00
   1    2912.3       57.3    2855.0     36.1    1.3%    2818.9     0     0.00
   2    7155.2       78.6    7076.5     54.8    0.8%    7021.8     0     0.00
   3    2976.0       62.9    2913.1     39.1    1.3%    2874.0     0     0.00
   4    2994.5       73.9    2920.6     38.4    1.3%    2882.2     0     0.00
   5   20356.7       78.1   20278.6    131.7    0.6%   20146.9     0     0.00
   6   44134.0       69.8   44064.2    220.6    0.5%   43843.6     0     0.00
   7   28634.4       72.5   28561.9    171.0    0.6%   28390.9     0     0.00
   8   27073.2       87.3   26986.0    164.6    0.6%   26821.3     0     0.00
   9    8333.7       61.9    8271.8     61.1    0.7%    8210.7     0     0.00
  10    7231.2       76.6    7154.6     53.4    0.7%    7101.3     0     0.00
  11   54075.1       84.8   53990.3    252.3    0.5%   53737.9     0     0.00
  12   19110.3       79.3   19031.1    128.2    0.7%   18902.9     0     0.00
  13   18642.4       81.9   18560.4    126.9    0.7%   18433.5     0     0.00
  14    3103.6       77.5    3026.2     38.6    1.3%    2987.6     0     0.00
  15    7897.8       89.4    7808.4     82.2    1.1%    7726.2     0     0.00
  16   22235.4       67.5   22167.9    143.9    0.6%   22024.0     0     0.00
  17   32333.9       77.7   32256.2    181.4    0.6%   32074.8     0     0.00
  18   37754.7       84.3   37670.3    179.0    0.5%   37491.4     0     0.00
  19    3240.4       76.7    3163.7     44.2    1.4%    3119.5     0     0.00
  20    3253.8       90.4    3163.4     43.0    1.4%    3120.4     0     0.00
  21   37546.8       79.6   37467.2    197.7    0.5%   37269.5     0     0.00
  22   63172.0       67.8   63104.2    273.9    0.4%   62830.3     0     0.00
  23   32829.3       66.2   32763.1    182.8    0.6%   32580.3     0     0.00
  24   55662.7       92.9   55569.8    230.9    0.4%   55338.9     0     0.00
  25   56138.9       88.9   56050.1    232.0    0.4%   55818.0     0     0.00
  26    3294.6       76.8    3217.8     66.8    2.1%    3151.0     0     0.00
  27    6395.7       92.8    6302.9     77.1    1.2%    6225.9     0     0.00
  28    5763.6       86.9    5676.7     74.1    1.3%    5602.6     0     0.00
  29  135515.9       94.7  135421.2    459.0    0.3%  134962.2     0     0.00
  30   22496.4       76.2   22420.2    146.0    0.7%   22274.1     0     0.00
  31    4019.2       91.5    3927.7     66.1    1.7%    3861.6     0     0.00
  32    3295.8       80.2    3215.6     63.3    2.0%    3152.2     0     0.00
  33   34092.8       75.1   34017.8    182.9    0.5%   33834.9     0     0.00
  34   56322.4       90.0   56232.5    228.5    0.4%   56003.9     0     0.00
  35    4952.7       44.8    4907.9     48.2    1.0%    4859.7     0     0.00
  36   35611.6       95.6   35516.0    166.3    0.5%   35349.7     0     0.00
  37   36490.0       93.8   36396.1    170.5    0.5%   36225.7     0     0.00
  38    7847.2       70.0    7777.2     59.6    0.8%    7717.6     0     0.00
  39    4098.1       82.7    4015.4     44.5    1.1%    3970.9     0     0.00
  40    6582.5       71.6    6510.9     53.7    0.8%    6457.2     0     0.00
  41   21917.2       83.1   21834.1    119.2    0.5%   21714.9     0     0.00
  42   10977.3       80.0   10897.3     78.3    0.7%   10819.0     0     0.00
  43    6667.1       47.6    6619.4     57.0    0.9%    6562.5     0     0.00
  44   26546.1       85.9   26460.2    129.4    0.5%   26330.8     0     0.00
  45    3384.0       81.5    3302.5     43.1    1.3%    3259.4     0     0.00
  46   43364.2       96.4   43267.8    162.0    0.4%   43105.8     0     0.00
  47    3426.9       90.8    3336.1     44.2    1.3%    3291.9     0     0.00
  48    3428.7       91.1    3337.6     45.3    1.4%    3292.3     0     0.00
  49    3437.5       99.4    3338.1     43.9    1.3%    3294.2     0     0.00
  50   60835.0       72.0   60763.0    248.6    0.4%   60514.3     0     0.00
  51    3422.4       76.3    3346.1     45.0    1.3%    3301.1     0     0.00
  52  137190.0      102.1  137087.9    426.4    0.3%  136661.5     0     0.00
  53    3458.5       80.7    3377.8     46.0    1.4%    3331.8     0     0.00
  54    3790.2       98.2    3692.0     47.5    1.3%    3644.5     0     0.00
  55    3502.6       89.0    3413.6     46.0    1.3%    3367.6     0     0.00
  56   15476.5       84.4   15392.0     89.8    0.6%   15302.2     0     0.00
  57    3482.9       63.7    3419.2     46.0    1.3%    3373.2     0     0.00
  58    3507.5       86.2    3421.3     46.9    1.4%    3374.5     0     0.00
  59    8276.0       74.4    8201.6     67.4    0.8%    8134.2     0     0.00
  60    6891.4       59.9    6831.5     60.3    0.9%    6771.2     0     0.00
  61    3883.0      473.2    3409.9     48.4    1.4%    3361.5     0     0.00
  62   34233.1      331.1   33902.0    123.7    0.4%   33778.3     0     0.00
  63   25913.1      734.8   25178.3    120.3    0.5%   25058.0     0     0.00
  64   37889.6      210.7   37679.0    130.0    0.3%   37549.0     0     0.00
  65    3882.7      479.8    3402.9     48.1    1.4%    3354.8     0     0.00
  66    3688.0      287.0    3401.0     45.3    1.3%    3355.7     0     0.00
  67   42817.8       89.3   42728.5    172.0    0.4%   42556.5     0     0.00
  68    3502.0       88.0    3414.0     44.3    1.3%    3369.7     0     0.00
  69    3515.3       94.0    3421.3     45.1    1.3%    3376.2     0     0.00
  70    6979.3       96.2    6883.1     54.2    0.8%    6828.9     0     0.00
  71   16922.5       75.0   16847.5     86.9    0.5%   16760.6     0     0.00
  72   12330.9       92.9   12238.0     67.7    0.6%   12170.3     0     0.00
  73    6220.0     2766.4    3453.7     42.4    1.2%    3411.3     0     0.00
  74   40260.3     2190.9   38069.4    146.5    0.4%   37922.9     0     0.00
  75    3761.5      305.8    3455.7     41.1    1.2%    3414.6     0     0.00
  76   11262.7     3668.9    7593.8     56.6    0.7%    7537.3     0     0.00
  77   25714.5     4099.7   21614.8     80.4    0.4%   21534.4     0     0.00
  78   48424.5     4041.1   44383.4    181.6    0.4%   44201.8     0     0.00
  79   38525.8     9848.1   28677.7    149.2    0.5%   28528.4     0     0.00
  80   35528.3     7871.2   27657.1    143.8    0.5%   27513.3     0     0.00
  81   10630.2     7133.4    3496.8     65.5    1.9%    3431.3     0     0.00
  82   12350.4     7307.9    5042.5     53.9    1.1%    4988.6     0     0.00
  83   20466.0     6324.1   14141.9     76.5    0.5%   14065.4     0     0.00
  84    9639.5     6191.1    3448.3     47.8    1.4%    3400.5     0     0.00
  85   32798.7     6055.8   26743.0    119.0    0.4%   26623.9     0     0.00
  86    8139.4     4694.1    3445.3     45.2    1.3%    3400.1     0     0.00
  87   22742.1     4261.8   18480.2     66.4    0.4%   18413.9     0     0.00
  88   10892.0     3988.4    6903.6     54.8    0.8%    6848.8     0     0.00
  89  143015.4     3928.1  139087.3    397.7    0.3%  138689.5     0     0.00
  90   34566.5     3561.5   31005.0    137.6    0.4%   30867.4     0     0.00
  91  143446.9     4153.1  139293.8    399.1    0.3%  138894.7     0     0.00
  92   49590.2     4472.0   45118.2    156.8    0.3%   44961.5     0     0.00
  93   32129.6     4599.8   27529.8    126.7    0.5%   27403.1     0     0.00
  94    7592.1     4125.5    3466.6     41.3    1.2%    3425.2     0     0.00
  95   59911.4     3038.4   56873.1    180.8    0.3%   56692.3     0     0.00
  96   24751.3    15352.6    9398.7     80.4    0.9%    9318.3     0     0.00
  97   32170.8    14525.1   17645.7    122.5    0.7%   17523.2     0     0.00
  98   76665.2    17390.5   59274.7    202.1    0.3%   59072.7     0     0.00
  99   26833.4    16978.4    9855.0     94.0    1.0%    9761.0     0     0.00
 100   77318.3    17266.1   60052.2    204.0    0.3%   59848.3     0     0.00
 101   36027.8    17272.7   18755.1    125.1    0.7%   18630.0     0     0.00
 102   19790.0    16285.5    3504.5     60.0    1.7%    3444.4     0     0.00
 103   63432.0    15865.7   47566.4    170.3    0.4%   47396.1     0     0.00
 104   19257.0    15752.6    3504.4     59.9    1.7%    3444.4     0     0.00
 105   18905.3    15401.0    3504.3     59.9    1.7%    3444.4     0     0.00
 106   75467.9    15070.2   60397.7    204.3    0.3%   60193.5     0     0.00
 107   23905.5    16770.4    7135.0     63.7    0.9%    7071.4     0     0.00
